artist,album
3rd,Highest Human Form
A Perpetual Dying Mirror,Towards a Constellation View
Abaddon Incarnate,Nadir
Abazagorath,Sacraments of the Final Atrocity
Abnormal,Shifted the Shape
Abominant,Where Demons Dwell
Abominant,Conquest
Abominant,The Way After
Abominant,Upon Black Horizons
Abominattion,Rites of the Eternal Hate
Abrasive,Devotion
Abscess,Damned and Mummified
Absorbed,Sunset Bleeding
Absorbed,Visions in Bloodred
Act of God,The Place of Worship
Ad Hominem,Climax of Hatred
Adolf Castle,Really Crazy Germans
Agathocles,"Live in Leipzig, Germany 1991"
Agathocles,To Serve... To Protect / Leads to...
Agenda / Epajarjestys,Split
Agmen,Damnation
Agony,Call the Rain
Agorhy,Ruptura
Al'virius,Beyond the Human Nation
Al-Namrood,Atba'a Al-Namrood
Alastor,Hellward
Alastor,Infernal Lord
Alchemy X,11:59:59
All Is Suffering,The Past: Vindictive Sadisms of Petty Bureaucrats
Ambehr,Spider's Web
Ambrazura,Storm in Your Brains
Amentia,Burn to Hate
Amoebic Dysentery,Hospice Orgy
Anael,On Wings of Mercury
Anarchus,Increasing the Hate
Ancestral Stigmata,Spirit
Ancient Gods,Mystic Lands
And Harmony Dies,Flames Everywhere
And Oceans vs Bloodthorn,War Vol. 1
Anestesia,Satisfied
Angelkill,Casket Lullabies
Angmar,The Razorblade Redemption
Antaios / Stigmatic Chorus,God; the Fake Artist / Waters of Styx Split
Anthropophagical Warfare / Recidivus,Split
Antigama,Discomfort
Antigama,Intellect Made Us Blind
Antigama / Third Degree / Herman Rarebell,The World Will Fall Soon and We All Will Die
Aphoom Zhah,Symbol of New Aeon
Apocryphal / Dialectic Soul,In Labyrinth of Time / Dialectic Soul split
Apoplexy,Medical Malpractitioners of Pathological Perversions and Clinical Cannibalism
Apostolum,Anedonia
Arallu,The Demon from the Ancient World
Arallu,Satanic War in Jerusalem
Arbitrator,Voice of the Dead
Arcane Grail,Mysteries of the Ancient Charnel
Archaean Harmony,Nihility Mundane Soul
Archaic,Akelarre/Regressor
As All Die,Victory
Ascendancy,Rise of a Dead Empire
Asguard,Wikka
Asguard,Black Fireland
Ashen Light,Ctapbl Bblahhbl / Caabehckhe Beyepa
Ashen Light,IIechn Meptbblx / 3ob Tbmbl
Astrofaes,Those Whose Past Is Immortal
Atoll Nerat,Art of Ancient Seers
Atreyu,The Curse
Aurora Borealis,Northern Lights
Autopsy,Dead as Fuck
Autumn,Ocehb Beyha... (Autumn Is Eternal...)
Autumn,Chernye Krylia (Black Wings)
Autumn Tears,Reprise MCMXCVIII
Autumnal,Grey Universe
Avenger,Bohemian Dark Metal
Avenger,Pad Oddanosti - Hnev a Rouhani
Avenger,Godless
Avenger,"Live at Open Hell Fest, 2003"
Avulsed,Gorespattered Suicide
Avulsion,Indroctrination into the Cult of Death
Axamenta,Codex Barathri
Axon,Leper Viper
Azaghal,Codex Antitheus
Azeroth,Live in Polygon
Azra-el,A Prayer from the Lips of Sin
Azrael,Into Shadows Act II: Through Horned Shadows Glimpse
Azrael,Act III: Self + Act IV: Goat
Azrael,Into Shadows Act 1: Denial
Azure,King of Stars - Bearer of Dark
Azure Emote,Chronicles of an Aging Mammal
